cell,proto,workload,stressors,dma_period_ns,simSeconds,simTicks,finalTick,simFreq,hostSeconds,simInsts,simOps,cpu_numCycles_total,l1_request_from_msgs_total,l1_request_to_msgs_total,l1_response_from_msgs_total,l1_response_to_msgs_total,dir_request_to_msgs_total,dir_response_from_msgs_total,dir_memory_request_msgs_total,periods,period_ns,config_id,wallclock_ns,pub.publishes,pub.reads,pub.eagain,pub.retries,mon.reads_attempted,mon.reads_eagain,mon.samples_consumed,mon.torn_reads,mon.residual_alarms,mon.stl_violations,publishes_per_sec,consumed_per_sec,torn_read_frac,consume_success_frac,l1_request_from_msgs_total__per_publish,l1_request_to_msgs_total__per_publish,l1_response_from_msgs_total__per_publish,l1_response_to_msgs_total__per_publish,dir_request_to_msgs_total__per_publish,dir_response_from_msgs_total__per_publish,dir_memory_request_msgs_total__per_publish,coherence_msgs_total,coherence_msgs_per_publish,system.ruby.dma_cntrl0.requestToDir.m_msg_count,system.ruby.dma_cntrl0.responseFromDir.m_msg_count,system.witness_pull_engine.ticks,system.witness_pull_engine.pullsCompleted,system.witness_pull_engine.bytesTransferred,system.witness_pull_engine.skippedBusy,system.ruby.dma_cntrl0.requestToDir.m_msg_count__per_publish
dblbuf__captured-periodic_suppression__str0,dblbuf,captured/periodic_suppression,0,,0.000316,316492000.0,87492900000.0,1000000000000.0,0.62,282020.0,357105.0,350598914.0,16956.0,9761.0,17147.0,19320.0,343.0,343.0,343.0,5000,50000,1,316193,5000,710,0,0,710,0,710,0,0,0,15822784.810126584,2246835.4430379746,0.0,1.0,3.3912,1.9522,3.4294,3.864,0.0686,0.0686,0.0686,64213.0,12.8426,,,,,,,
dblbuf__captured-periodic_suppression__str2,dblbuf,captured/periodic_suppression,2,,0.000318,317699500.0,90331802000.0,1000000000000.0,0.86,295894.0,365991.0,363225007.0,28861.0,8339.0,14996.0,30497.0,7852.0,15705.0,15653.0,5000,50000,1,317088,5000,460,0,1,460,0,460,0,0,0,15723270.440251574,1446540.8805031448,0.0,1.0,5.7722,1.6678,2.9992,6.0994,1.5704,3.141,3.1306,121903.0,24.3806,,,,,,,
dblbuf__captured-periodic_suppression__str4,dblbuf,captured/periodic_suppression,4,,0.000334,334467000.0,92186915500.0,1000000000000.0,1.09,335494.0,406171.0,372082356.0,37467.0,9219.0,15908.0,39196.0,12358.0,24715.0,24641.0,5000,50000,1,333426,5000,489,0,1,489,0,489,0,1,8,14970059.880239522,1464071.8562874252,0.0,1.0,7.4934,1.8438,3.1816,7.8392,2.4716,4.943,4.9282,163504.0,32.7008,,,,,,,
dblbuf__synthesized-duty_bias__str0,dblbuf,synthesized/duty_bias,0,,0.000369,369366000.0,87971969500.0,1000000000000.0,0.67,275756.0,353821.0,352620964.0,25359.0,18031.0,29088.0,31393.0,343.0,343.0,343.0,5000,100000,2,369074,5000,859,0,0,859,0,859,0,804,852,13550135.501355013,2327913.2791327913,0.0,1.0,5.0718,3.6062,5.8176,6.2786,0.0686,0.0686,0.0686,104900.0,20.98,,,,,,,
dblbuf__synthesized-duty_bias__str2,dblbuf,synthesized/duty_bias,2,,0.000348,348429500.0,90821996000.0,1000000000000.0,0.94,290766.0,361783.0,365370645.0,34853.0,12939.0,21599.0,38494.0,8627.0,17253.0,17075.0,5000,100000,2,347869,5000,506,0,1,506,0,506,0,474,499,14367816.091954023,1454022.9885057472,0.0,1.0,6.9706,2.5878,4.3198,7.6988,1.7254,3.4506,3.415,150840.0,30.168,,,,,,,
dblbuf__synthesized-duty_bias__str4,dblbuf,synthesized/duty_bias,4,,0.000388,388145500.0,92694908000.0,1000000000000.0,1.3,363811.0,437392.0,374650633.0,50164.0,14605.0,23903.0,54439.0,15992.0,31981.0,31853.0,5000,100000,2,387352,5000,635,0,1,635,0,633,0,592,626,12886597.93814433,1631443.298969072,0.0,0.9968503937007874,10.0328,2.921,4.7806,10.8878,3.1984,6.3962,6.3706,222937.0,44.5874,,,,,,,
dma_naive__captured-periodic_suppression__str0__dma1000ns,dma_naive,captured/periodic_suppression,0,1000,0.000777,777194000.0,87286751000.0,1000000000000.0,1.16,960676.0,1090195.0,350695654.0,13867.0,6582.0,11619.0,13884.0,3420.0,6458.0,3420.0,5000,50000,1,776891,5000,3174,0,0,3174,0,753,555,1,8,6435006.435006435,969111.9691119691,0.17485822306238186,0.23724007561436672,2.7734,1.3164,2.3238,2.7768,0.684,1.2916,0.684,59250.0,11.85,1554.0,1554.0,777.0,777.0,49728.0,0.0,0.3108
dma_naive__captured-periodic_suppression__str2__dma1000ns,dma_naive,captured/periodic_suppression,2,1000,0.000796,795763000.0,90122347500.0,1000000000000.0,1.91,1049877.0,1172318.0,365256461.0,49100.0,6763.0,11800.0,49118.0,21994.0,43928.0,40662.0,5000,50000,1,795225,5000,2700,0,0,2700,0,757,514,1,8,6281407.035175879,951005.0251256281,0.19037037037037038,0.2803703703703704,9.82,1.3526,2.36,9.8236,4.3988,8.7856,8.1324,223365.0,44.673,1592.0,1592.0,796.0,796.0,50944.0,0.0,0.3184
dma_naive__captured-periodic_suppression__str4__dma1000ns,dma_naive,captured/periodic_suppression,4,1000,0.001077,1077477500.0,92181748000.0,1000000000000.0,3.02,1393227.0,1535017.0,379477841.0,94466.0,11647.0,16681.0,94479.0,48710.0,97342.0,92341.0,5000,50000,1,1076497,5000,3847,0,0,3847,0,1025,603,2,16,4642525.533890436,951717.7344475394,0.15674551598648298,0.2664413828957629,18.8932,2.3294,3.3362,18.8958,9.742,19.4684,18.4682,455666.0,91.1332,2154.0,2154.0,1078.0,1077.0,68928.0,0.0,0.4308
dma_naive__synthesized-duty_bias__str0__dma1000ns,dma_naive,synthesized/duty_bias,0,1000,0.000777,777403500.0,87740693000.0,1000000000000.0,1.18,953672.0,1085899.0,352511895.0,13855.0,6584.0,11621.0,13872.0,3422.0,6464.0,3422.0,5000,100000,2,777100,5000,3354,0,0,3354,0,754,659,707,747,6435006.435006435,970398.9703989704,0.19648181276088253,0.2248062015503876,2.771,1.3168,2.3242,2.7744,0.6844,1.2928,0.6844,59240.0,11.848,1554.0,1554.0,777.0,777.0,49728.0,0.0,0.3108
dma_naive__synthesized-duty_bias__str2__dma1000ns,dma_naive,synthesized/duty_bias,2,1000,0.000806,805983000.0,90667646000.0,1000000000000.0,1.89,1046704.0,1172307.0,367496396.0,49114.0,7013.0,12050.0,49132.0,22171.0,44284.0,40874.0,5000,100000,2,805497,5000,2906,0,0,2906,0,766,590,717,759,6203473.945409429,950372.2084367246,0.20302821748107364,0.26359256710254647,9.8228,1.4026,2.41,9.8264,4.4342,8.8568,8.1748,224638.0,44.9276,1612.0,1612.0,806.0,806.0,51584.0,0.0,0.3224
dma_naive__synthesized-duty_bias__str4__dma1000ns,dma_naive,synthesized/duty_bias,4,1000,0.001113,1113464500.0,92705426000.0,1000000000000.0,3.2,1412877.0,1561151.0,381935536.0,97176.0,12871.0,17905.0,97188.0,50174.0,100270.0,94918.0,5000,100000,2,1112836,5000,4259,0,0,4259,0,1063,732,1003,1056,4492362.98292902,955076.3701707098,0.17187133129842685,0.2495891054238084,19.4352,2.5742,3.581,19.4376,10.0348,20.054,18.9836,470502.0,94.1004,2226.0,2226.0,1113.0,1113.0,71232.0,0.0,0.4452
dma_seqlock__captured-periodic_suppression__str0__dma1000ns,dma_seqlock,captured/periodic_suppression,0,1000,0.000448,448215500.0,86957778500.0,1000000000000.0,0.7,521733.0,523978.0,348721546.0,12026.0,5925.0,10962.0,12044.0,2103.0,3825.0,2103.0,5000,50000,1,447913,5000,478,1774,14707,2252,1774,170,0,0,0,11160714.285714285,379464.28571428574,0.0,0.07548845470692718,2.4052,1.185,2.1924,2.4088,0.4206,0.765,0.4206,48988.0,9.7976,896.0,896.0,448.0,448.0,28672.0,0.0,0.1792
dma_seqlock__captured-periodic_suppression__str2__dma1000ns,dma_seqlock,captured/periodic_suppression,2,1000,0.000462,461686000.0,89798093000.0,1000000000000.0,1.16,592447.0,594468.0,361954797.0,32540.0,5954.0,10991.0,32558.0,12635.0,25209.0,23442.0,5000,50000,1,461129,5000,301,1830,14997,2131,1830,142,0,0,0,10822510.822510822,307359.30735930736,0.0,0.0666353824495542,6.508,1.1908,2.1982,6.5116,2.527,5.0418,4.6884,143329.0,28.6658,922.0,922.0,461.0,461.0,29504.0,0.0,0.1844
dma_seqlock__captured-periodic_suppression__str4__dma1000ns,dma_seqlock,captured/periodic_suppression,4,1000,0.000532,532484500.0,91596480500.0,1000000000000.0,1.65,699671.0,702500.0,371698983.0,52098.0,7802.0,12839.0,52116.0,23771.0,47469.0,45343.0,5000,50000,1,531778,5000,839,1588,13109,2427,1588,243,0,0,0,9398496.240601502,456766.91729323304,0.0,0.10012360939431397,10.4196,1.5604,2.5678,10.4232,4.7542,9.4938,9.0686,241438.0,48.2876,1064.0,1064.0,532.0,532.0,34048.0,0.0,0.2128
dma_seqlock__synthesized-duty_bias__str0__dma1000ns,dma_seqlock,synthesized/duty_bias,0,1000,0.000448,448081500.0,87411374000.0,1000000000000.0,0.7,520679.0,522868.0,350537213.0,12001.0,5924.0,10961.0,12019.0,2102.0,3822.0,2102.0,5000,100000,2,447778,5000,430,1880,15338,2310,1880,163,0,152,156,11160714.285714285,363839.28571428574,0.0,0.07056277056277056,2.4002,1.1848,2.1922,2.4038,0.4204,0.7644,0.4204,48931.0,9.7862,896.0,896.0,448.0,448.0,28672.0,0.0,0.1792
dma_seqlock__synthesized-duty_bias__str2__dma1000ns,dma_seqlock,synthesized/duty_bias,2,1000,0.000463,463096500.0,90325307000.0,1000000000000.0,1.14,587845.0,589986.0,364073326.0,32502.0,5987.0,11023.0,32520.0,12634.0,25204.0,23382.0,5000,100000,2,462653,5000,384,1757,14447,2141,1757,157,0,148,150,10799136.06911447,339092.8725701944,0.0,0.0733302195235871,6.5004,1.1974,2.2046,6.504,2.5268,5.0408,4.6764,143252.0,28.6504,926.0,926.0,463.0,463.0,29632.0,0.0,0.1852
dma_seqlock__synthesized-duty_bias__str4__dma1000ns,dma_seqlock,synthesized/duty_bias,4,1000,0.000537,537212500.0,92149830000.0,1000000000000.0,1.63,700270.0,703091.0,373958192.0,52499.0,6852.0,11887.0,52516.0,23863.0,47644.0,45490.0,5000,100000,2,536291,5000,899,1627,13471,2526,1627,242,0,230,235,9310986.964618249,450651.7690875232,0.0,0.0958036421219319,10.4998,1.3704,2.3774,10.5032,4.7726,9.5288,9.098,240751.0,48.1502,1074.0,1074.0,537.0,537.0,34368.0,0.0,0.2148
seqlock__captured-periodic_suppression__str0,seqlock,captured/periodic_suppression,0,,0.000463,462966500.0,86961367500.0,1000000000000.0,0.76,450895.0,459484.0,348765733.0,22709.0,15336.0,25509.0,27862.0,344.0,344.0,344.0,5000,50000,1,462667,5000,963,2,2746,965,2,963,0,0,0,10799136.06911447,2079913.6069114471,0.0,0.9979274611398964,4.5418,3.0672,5.1018,5.5724,0.0688,0.0688,0.0688,92448.0,18.4896,,,,,,,
seqlock__captured-periodic_suppression__str2,seqlock,captured/periodic_suppression,2,,0.000451,450788500.0,89761387000.0,1000000000000.0,1.11,474322.0,480695.0,361741797.0,38776.0,11919.0,20352.0,42189.0,11062.0,22123.0,22044.0,5000,50000,1,450263,5000,686,48,1659,734,48,686,0,1,8,11086474.501108646,1521064.3015521064,0.0,0.9346049046321526,7.7552,2.3838,4.0704,8.4378,2.2124,4.4246,4.4088,168465.0,33.693,,,,,,,
seqlock__captured-periodic_suppression__str4,seqlock,captured/periodic_suppression,4,,0.000457,456965500.0,91528728000.0,1000000000000.0,1.38,517943.0,524156.0,370675253.0,50303.0,11618.0,19879.0,53545.0,17007.0,34015.0,33888.0,5000,50000,1,456385,5000,666,43,1651,709,43,666,0,0,0,10940919.037199125,1457330.4157549234,0.0,0.9393511988716502,10.0606,2.3236,3.9758,10.709,3.4014,6.803,6.7776,220255.0,44.051,,,,,,,
seqlock__synthesized-duty_bias__str0,seqlock,synthesized/duty_bias,0,,0.000522,521883500.0,87435179500.0,1000000000000.0,0.88,440352.0,450757.0,350778839.0,32438.0,25064.0,39868.0,42220.0,344.0,344.0,344.0,5000,100000,2,521592,5000,1190,0,1486,1190,0,1190,0,1119,1183,9578544.061302682,2279693.4865900385,0.0,1.0,6.4876,5.0128,7.9736,8.444,0.0688,0.0688,0.0688,140622.0,28.1244,,,,,,,
seqlock__synthesized-duty_bias__str2,seqlock,synthesized/duty_bias,2,,0.000493,492742000.0,90272147500.0,1000000000000.0,1.22,466980.0,474249.0,364035290.0,47494.0,18698.0,30301.0,54073.0,12053.0,24106.0,24006.0,5000,100000,2,492135,5000,798,0,801,798,0,798,0,748,791,10141987.829614606,1618661.257606491,0.0,1.0,9.4988,3.7396,6.0602,10.8146,2.4106,4.8212,4.8012,210731.0,42.1462,,,,,,,
seqlock__synthesized-duty_bias__str4,seqlock,synthesized/duty_bias,4,,0.000526,526162500.0,92103984000.0,1000000000000.0,1.66,554024.0,561957.0,373667806.0,65887.0,21015.0,33005.0,72866.0,21567.0,43132.0,42956.0,5000,100000,2,525263,5000,882,0,916,882,0,881,0,830,874,9505703.422053233,1674904.9429657795,0.0,0.9988662131519275,13.1774,4.203,6.601,14.5732,4.3134,8.6264,8.5912,300428.0,60.0856,,,,,,,
unsync__captured-periodic_suppression__str0,unsync,captured/periodic_suppression,0,,0.000753,752760000.0,87251199500.0,1000000000000.0,1.17,824316.0,996621.0,350504648.0,25673.0,18265.0,29903.0,32290.0,346.0,346.0,346.0,5000,50000,1,752460,5000,1820,0,0,1820,0,1820,59,0,0,6640106.241699867,2416998.6719787517,0.03241758241758242,1.0,5.1346,3.653,5.9806,6.458,0.0692,0.0692,0.0692,107169.0,21.4338,,,,,,,
unsync__captured-periodic_suppression__str2,unsync,captured/periodic_suppression,2,,0.000749,748668500.0,90052024500.0,1000000000000.0,1.83,898026.0,1061651.0,364692269.0,56520.0,15863.0,26207.0,61843.0,18038.0,36076.0,35850.0,5000,50000,1,748072,5000,1540,0,0,1540,0,1540,63,0,0,6675567.423230975,2056074.7663551401,0.04090909090909091,1.0,11.304,3.1726,5.2414,12.3686,3.6076,7.2152,7.17,250397.0,50.0794,,,,,,,
unsync__captured-periodic_suppression__str4,unsync,captured/periodic_suppression,4,,0.000945,945492500.0,91996283000.0,1000000000000.0,2.76,1142947.0,1322084.0,377418816.0,92097.0,22554.0,34081.0,98604.0,37068.0,74136.0,73523.0,5000,50000,1,944635,5000,2044,0,0,2044,0,2030,84,0,0,5291005.291005291,2148148.1481481483,0.0410958904109589,0.9931506849315068,18.4194,4.5108,6.8162,19.7208,7.4136,14.8272,14.7046,432063.0,86.4126,,,,,,,
unsync__synthesized-duty_bias__str0,unsync,synthesized/duty_bias,0,,0.000836,836370500.0,87749674500.0,1000000000000.0,1.31,801185.0,980961.0,352665847.0,40026.0,32618.0,50897.0,53283.0,346.0,346.0,346.0,5000,100000,2,836079,5000,2061,0,0,2061,0,2061,138,1926,2054,5980861.244019139,2465311.004784689,0.06695778748180495,1.0,8.0052,6.5236,10.1794,10.6566,0.0692,0.0692,0.0692,177862.0,35.5724,,,,,,,
unsync__synthesized-duty_bias__str2,unsync,synthesized/duty_bias,2,,0.000849,848958500.0,90631593500.0,1000000000000.0,2.13,911057.0,1083540.0,367610721.0,74316.0,29509.0,46133.0,85918.0,20513.0,41025.0,40729.0,5000,100000,2,848298,5000,1826,0,0,1826,0,1825,81,1705,1817,5889281.507656066,2149587.750294464,0.0443592552026287,0.9994523548740416,14.8632,5.9018,9.2266,17.1836,4.1026,8.205,8.1458,338143.0,67.6286,,,,,,,
unsync__synthesized-duty_bias__str4,unsync,synthesized/duty_bias,4,,0.001051,1051201000.0,92607027000.0,1000000000000.0,2.98,1164235.0,1356038.0,380916361.0,110930.0,36897.0,54576.0,123588.0,40096.0,80190.0,79454.0,5000,100000,2,1050447,5000,2458,0,0,2458,0,2423,73,2273,2411,4757373.929590866,2305423.4062797334,0.029698942229454843,0.9857607811228641,22.186,7.3794,10.9152,24.7176,8.0192,16.038,15.8908,525731.0,105.1462,,,,,,,
